name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
ICAR-CHCG1,NETWORK APPLIANCES,JUNIPER NETWORKS,MX480,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-13 04:12:16-04,,,CH 8602 241,213.06
ICAS-C4CG1-1,,JUNIPER NETWORKS,MX480,N/A,,,,,ICAIR,,,2020-04-13 04:21:15-04,,,CH 8602 241,213.06
ICAS-CHCG1-2,NETWORK APPLIANCES,BROCADE,MLXE-4,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-13 04:07:42-04,,,CH 8602 241,213.06
ICE BERKER,SERVER,SUPERMICRO,4 RU SM,,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - QU,PATRICK ZARNAS,2018-05-15 09:35:47-04,RT 267173,,EVDC,M58
ICSW-CHCG1-1,NETWORK APPLIANCES,JUNIPER NETWORKS,SWITCH EX4200-24F 1PS,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-13 04:27:00-04,,,CH 8602 241,213.06
IDEAS1.RESEARCH,BLADE SERVER,SUPERMICRO,3 RU SM,S287093X9122416,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,ALAN R WOLFF,2019-07-17 19:34:48-04,834593,,EVDC,P58
IHCONE STAR OPT 1-ES-NET,SERVER,SUPERMICRO,1 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 02:01:42-04,,,CH 8602 241,207.04
ILLSR01MT0801,NETWORK SWITCH,MRV,LX 4000T,FGME000121,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-20 10:34:00-04,,,CH 8602 243,212.05
ILLSR01W31101,CONNECTION DEVICE,EXXACT,1 RUS,08WK01001130,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-20 10:40:40-04,,,CH 8602 243,212.05
ILLSR01W42701,CONNECTION DEVICE,EXXACT,1 RUS,07WJ100002S2,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-20 10:49:06-04,,,CH 8602 243,212.05
INFBAND,SAN SWITCH,MELLANOX,SX6036,MM221913,,,SAN SWITCH,,SO,NUIT-CI-PIPS-HPC,,2017-08-25 11:58:51-04,,,EVDC,S25
INFINERA,NETWORK APPLIANCES,INFINERA,DTCCANSIA,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 02:12:48-04,,,CH 8602 241,205.03
INFOBLOX1,NETWORK APPLIANCES,INFOBLOX,IB-1550-A-BASE,110820111100043,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2014-03-14 12:25:59-04,,,EV LEV G156,0G.02.09
INTERNET2 INNOVATON PLATEFORM RU17,NETWORK APPLIANCES,NORTEL NETWORKS,OPTICAL MULTISERVICE EDGE 6500-22,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 22:29:14-04,,,CH 8602 241,205.09
IOM 2,,MRV COMMUNICATIONS,INREACH,080087-8097DF,,,,,NT,NUIT-CI-TNS-DATANETWORK,,2014-10-09 13:08:10-04,,,EV LEV G156,0G.02.09
IPPBX 01,SERVER,DELL,POWEREDGE R610,4YBDVR1,,,INFRASTRUCTURE,,NT,NUIT-CI-TNS-DATANETWORK,,2018-05-08 12:39:34-04,,,EV LEV G156,0G.01.15
IRHN,NETWORK APPLIANCES,CIENA,CN 2000,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 00:44:36-04,,,CH 8602 241,207.05
IRHN 221,NETWORK APPLIANCES,JUNIPER NETWORKS,ROUTER MX104,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 00:42:03-04,,,CH 8602 241,207.05
J100XVZG,BLADE SERVER,LENOVO,THINKSYSTEM SD530 SERVER,J100XVZG,,,HIGH PERFORMANCE COMPUTING,,SO,NUIT-CI-PIPS-HPC,,2020-04-08 22:03:27-04,972021,,EVDC,V15
J11NW78,BLADE SERVER,IBM,BLADE LS20,J11NW78,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:19:09-05,,,EVDC,T25
J11NW79,BLADE SERVER,IBM,BLADE LS20,J11NW79,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:15:41-05,,,EVDC,T25
J11NW7A,BLADE SERVER,IBM,BLADE LS20,J11NW7A,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:20:11-05,,,EVDC,T25
J11NW7B,BLADE SERVER,IBM,BLADE LS20,J11NW7B,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:21:04-05,,,EVDC,T25
J11NW7C,BLADE SERVER,IBM,BLADE LS20,J11NW7C,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:21:53-05,,,EVDC,T25
J11NW7D,BLADE SERVER,IBM,BLADE LS20,J11NW7D,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:19:55-05,,,EVDC,T25
J11NW7E,BLADE SERVER,IBM,BLADE LS20,J11NW7E,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:26:35-05,,,EVDC,T25
J11NW7F,BLADE SERVER,IBM,BLADE LS20,J11NW7F,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:25:49-05,,,EVDC,T25
J11NW7G,BLADE SERVER,IBM,BLADE LS20,J11NW7G,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:24:50-05,,,EVDC,T25
J11NW7H,BLADE SERVER,IBM,BLADE LS20,J11NW7H,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:22:45-05,,,EVDC,T25
J11NW7K,BLADE SERVER,IBM,BLADE LS20,J11NW7K,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:25:10-05,,,EVDC,T25
J11NW7L,BLADE SERVER,IBM,BLADE LS20,J11NW7L,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:23:25-05,,,EVDC,T25
J11NW7M,BLADE SERVER,IBM,BLADE LS20,J11NW7M,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:39:57-05,559273,,EVDC,T25
J11NW7N,BLADE SERVER,IBM,BLADE LS20,J11NW7N,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:34:55-05,559273,,EVDC,T25
J11NW7P,BLADE SERVER,IBM,BLADE LS20,J11NW7P,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:34:03-05,559273,,EVDC,T25
J11NW7R,BLADE SERVER,IBM,BLADE LS20,J11NW7R,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:32:00-05,559273,,EVDC,T25
J11NW7T,BLADE SERVER,IBM,BLADE LS20,J11NW7T,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-07 10:27:36-05,,,EVDC,T25
J11NW7V,BLADE SERVER,IBM,BLADE LS20,J11NW7V,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:39:00-05,559273,,EVDC,T25
J11NW7W,BLADE SERVER,IBM,BLADE LS20,J11NW7W,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:48:55-05,559273,,EVDC,T25
J11NW7X,BLADE SERVER,IBM,BLADE LS20,J11NW7X,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:50:59-05,559273,,EVDC,T25
J11NW7Y,BLADE SERVER,IBM,BLADE LS20,J11NW7Y,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:51:21-05,559273,,EVDC,T25
J11NW7Z,BLADE SERVER,IBM,BLADE LS20,J11NW7Z,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:50:25-05,559273,,EVDC,T25
J11NW80,BLADE SERVER,IBM,BLADE LS20,J11NW80,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:50:42-05,559273,,EVDC,T25
J121FBT,BLADE SERVER,IBM,BLADE LS20,J121FBT,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,PIPS-HPC,2019-11-07 10:51:45-05,559273,,EVDC,T25
JACOBS-7-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST WS-C3750X-24P-S,FDO1536R1M1,,,DISTRIBUTION NETWORK,,,,,2014-08-13 11:42:01-04,,,EV LEV G156,0G.01.16
JACOBS RIU,DAS,MOBILE ACCESS,RADIO INTERFACE UNIT,653970,,,,,,,,2017-08-02 13:16:14-04,,,EV LEV G156,0G.02.01
JAKKU,SERVER,DELL,POWEREDGE R420,FH6HFB2,,,PRODUCTION,COLOCATION,SO,SCHOOL OF COMMUINCATIONS,JOHN ARENDS,2018-05-29 17:06:27-04,361374,,EVDC,Q48
JANSKY,STORAGE,ASL INC.,LANCELOT 2869,12020245,,,RESEARCH,COLOCATION,SO,WCAS PHYSICS AND ASTRONOMY - ZADEH,GEORGE CAMPBELL,2019-12-05 10:24:31-05,,,EVDC,O58
JAVA,SERVER,DELL,POWEREDGE R610,DL9YJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:23:06-04,,,EV TECH LG87,02
JAZZ,SERVER,DELL,POWEREDGE R720,22B6CZ1,,,RESEARCH,COLOCATION,SO,MEDICAL SCHOOL,ALEX KOGAN,2019-08-12 14:36:56-04,,,EVDC,Q62
JHN-N002,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-21 14:48:17-05,,,EV TECH LG87,03
JHN-N003,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2018-05-15 13:02:36-04,,,EV TECH LG87,03
JHN-N004,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:08:31-05,,,EV TECH LG87,03
JHN-N005,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:02-05,,,EV TECH LG87,03
JHN-N006,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:05-05,,,EV TECH LG87,03
JHN-N007,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:07-05,,,EV TECH LG87,03
JHN-N008,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:10-05,,,EV TECH LG87,03
JHN-N009,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:14-05,,,EV TECH LG87,03
JHN-N010,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:16-05,,,EV TECH LG87,03
JHN-N011,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:19-05,,,EV TECH LG87,03
JHN-N012,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:21-05,,,EV TECH LG87,03
JHN-N013,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:23-05,,,EV TECH LG87,03
JHN-N014,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:25-05,,,EV TECH LG87,03
JHN-N015,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:28-05,,,EV TECH LG87,03
JHN-N016,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:32-05,,,EV TECH LG87,03
JHN-N017,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:39-05,,,EV TECH LG87,03
JHN-N018,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:42-05,,,EV TECH LG87,03
JHN-N019,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:44-05,,,EV TECH LG87,03
JHN-N020,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:49-05,,,EV TECH LG87,03
JHN-N021,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:52-05,,,EV TECH LG87,03
JHN-N022,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:54-05,,,EV TECH LG87,03
JHN-N023,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:56-05,,,EV TECH LG87,03
JHN-N024,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:09:59-05,,,EV TECH LG87,03
JHN-N025,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:01-05,,,EV TECH LG87,03
JHN-N026,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:04-05,,,EV TECH LG87,03
JHN-N027,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:07-05,,,EV TECH LG87,03
JHN-N028,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:12-05,,,EV TECH LG87,03
JHN-N029,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:14-05,,,EV TECH LG87,03
JHN-N030,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:16-05,,,EV TECH LG87,03
JHN-N031,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:18-05,,,EV TECH LG87,03
JHN-N032,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:21-05,,,EV TECH LG87,03
JHN-N033,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:25-05,,,EV TECH LG87,03
JHN-N034,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:30-05,,,EV TECH LG87,03
JHN-N035,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:32-05,,,EV TECH LG87,03
JHN-N036,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:34-05,,,EV TECH LG87,03
JHN-N037,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:36-05,,,EV TECH LG87,03
JOSQUIN HEAD NODE 001,STORAGE,MICOWAY,3U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 15:10:38-05,,,EV TECH LG87,03
JUNIPER MX960,NETWORK ROUTER,JUNIPER NETWORKS,MX960,COULAKPBTA,,,ROUTER,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-26 12:17:44-04,,,CH 8602 243,213.01
JUNIPERMX960-STARLIGHT,NETWORK ROUTER,JUNIPER NETWORKS,MX960,COVIAKPBTA,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-20 10:39:46-04,,,CH 8602 243,212.05
K58-01 NODE 019,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915030,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:28:45-05,RT 264352,,EVDC,K58
K58.01 TARDIS,SERVER,SUPERMICRO,SUPERSERVER 2RU,1859106,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 10:08:32-05,,,EVDC,K58
K58-05 NODE 021,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915032,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:32:08-05,,,EVDC,K58
K58.07 NODE 003,SERVER,SUPERMICRO,SUPERSERVER 2RU,1859103,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 10:10:10-05,,,EVDC,K58
K58-07 NODE 022,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915033,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:39:58-05,,,EVDC,K58
K58-11 NODE 024,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915035,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:49:29-05,,,EVDC,K58
K58-15 NODE 026,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915035,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:51:59-05,,,EVDC,K58
K58-17 NODE 027,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915038,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:55:09-05,,,EVDC,K58
K58-23 NODE 030,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915041,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 16:58:09-05,,,EVDC,K58
K58-25 NODE 031,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915042,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 17:01:49-05,,FP-767418,EVDC,K58
K58-29 NODE 033,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915044,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 17:21:59-05,RT 264352,,EVDC,K58
K58-31 NODE 034,SERVER,SUPERMICRO,SUPERSERVER 2RU,191505,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-12 17:23:59-05,RT 264352,,EVDC,K58
K58.35 NODE  017,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915028,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-15 19:56:46-05,RT 264352,,EVDC,K58
K58.37 NODE 018,SERVER,SUPERMICRO,SUPERSERVER 2RU,1915029,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-15 20:00:16-05,RT 264352,,EVDC,K58
K58 INFINIBAND1 SWITCH-01,SAN SWITCH,QLOGIC,12300 INFINIBAND SWITCH,,,,SAN SWITCH,,,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2019-07-10 13:22:13-04,,,EVDC,K58
K58 INFINIBAND2 SWITCH,SAN SWITCH,QLOGIC,12300 INFINIBAND SWITCH,,,,SAN SWITCH,,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2019-07-10 13:18:40-04,,,EVDC,K58
K58 NETGEAR SWITCH,NETWORK SWITCH,NETGEAR,GS724TS,,,,DISTRIBUTION NETWORK,,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-05-15 12:43:40-04,,,EVDC,K58
K62.01 SERVER,SERVER,DELL,POWEREDGE 1950,9M60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:39-04,,,EVDC,K62
K62.02 SERVER,SERVER,DELL,POWEREDGE 1950,4M60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:22-04,,,EVDC,K62
K62.03 SERVER,SERVER,DELL,POWEREDGE 1950,CM60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:48-04,,,EVDC,K62
K62.04 SERVER,SERVER,DELL,POWEREDGE 1950,8M60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:36-04,,,EVDC,K62
K62.05 SERVER,SERVER,DELL,POWEREDGE 1950,5772DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:23-04,,,EVDC,K62
